year,period_type,decimal_latitude,decimal_longitude,species,state_province,country_code,time_period,month,avg_temp_c,land_area,density_per,observations,cluster,cluster_name
1980,1,33,-82,Cygnus columbianus,Georgia,US,1_1980-1988,12,7.611111,148959.0,74.0,2,2,Юг США
1980,1,34,-118,Cygnus olor,California,US,1_1980-1988,2,9.333333,403466.0,97.0,1,2,Юг США
1980,1,34,-79,Cygnus columbianus,South Carolina,US,1_1980-1988,1,7.111111,77857.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,34,-79,Cygnus columbianus,South Carolina,US,1_1980-1988,2,5.388889,77857.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,34,-79,Cygnus columbianus,South Carolina,US,1_1980-1988,12,6.888889,77857.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,34,-79,Cygnus olor,South Carolina,US,1_1980-1988,1,7.111111,77857.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,35,-76,Cygnus columbianus,North Carolina,US,1_1980-1988,1,4.6666665,125920.0,86.0,1,3,Северо-восток США и восток Канады
1980,1,36,-84,Cygnus columbianus,Tennessee,US,1_1980-1988,12,3.9444444,106798.0,67.0,1,2,Юг США
1980,1,36,-82,Cygnus columbianus,North Carolina,US,1_1980-1988,12,4.888889,125920.0,86.0,1,3,Северо-восток США и восток Канады
1980,1,36,-76,Cygnus columbianus,North Carolina,US,1_1980-1988,1,4.6666665,125920.0,86.0,2,3,Северо-восток США и восток Канады
1980,1,36,-75,Cygnus columbianus,North Carolina,US,1_1980-1988,1,4.6666665,125920.0,86.0,2,3,Северо-восток США и восток Канады
1980,1,37,-122,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,2,2,Юг США
1980,1,37,-77,Cygnus columbianus,Virginia,US,1_1980-1988,2,-0.22222222,102279.0,85.0,1,3,Северо-восток США и восток Канады
1980,1,37,-77,Cygnus columbianus,Virginia,US,1_1980-1988,12,2.4444444,102279.0,85.0,2,3,Северо-восток США и восток Канады
1980,1,37,-76,Cygnus columbianus,Virginia,US,1_1980-1988,12,2.4444444,102279.0,85.0,2,3,Северо-восток США и восток Канады
1980,1,38,-123,Cygnus columbianus,California,US,1_1980-1988,1,7.7222223,403466.0,97.0,2,4,Запад США и Канады
1980,1,38,-123,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,1,4,Запад США и Канады
1980,1,38,-122,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,3,4,Запад США и Канады
1980,1,38,-121,Cygnus columbianus,California,US,1_1980-1988,2,9.333333,403466.0,97.0,1,4,Запад США и Канады
1980,1,38,-121,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,1,4,Запад США и Канады
1980,1,38,-76,Cygnus columbianus,Maryland,US,1_1980-1988,1,0.16666667,25142.0,246.0,4,3,Северо-восток США и восток Канады
1980,1,38,-76,Cygnus columbianus,Maryland,US,1_1980-1988,2,-1.1666666,25142.0,246.0,3,3,Северо-восток США и восток Канады
1980,1,38,-76,Cygnus columbianus,Maryland,US,1_1980-1988,12,1.2777778,25142.0,246.0,5,3,Северо-восток США и восток Канады
1980,1,38,-75,Cygnus columbianus,Maryland,US,1_1980-1988,12,1.2777778,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,1,39,-124,Cygnus columbianus,California,US,1_1980-1988,1,7.7222223,403466.0,97.0,1,4,Запад США и Канады
1980,1,39,-122,Cygnus columbianus,California,US,1_1980-1988,1,7.7222223,403466.0,97.0,7,4,Запад США и Канады
1980,1,39,-122,Cygnus columbianus,California,US,1_1980-1988,2,9.333333,403466.0,97.0,5,4,Запад США и Канады
1980,1,39,-122,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,5,4,Запад США и Канады
1980,1,39,-105,Cygnus columbianus,Colorado,US,1_1980-1988,12,1.5555556,268431.0,22.0,2,4,Запад США и Канады
1980,1,39,-98,Cygnus columbianus,Kansas,US,1_1980-1988,12,2.0555556,211754.0,14.0,1,2,Юг США
1980,1,39,-86,Cygnus columbianus,Indiana,US,1_1980-1988,2,-5.111111,92789.0,74.0,1,3,Северо-восток США и восток Канады
1980,1,39,-77,Cygnus columbianus,Maryland,US,1_1980-1988,1,0.16666667,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,1,39,-77,Cygnus olor,Maryland,US,1_1980-1988,1,0.16666667,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,1,39,-77,Cygnus olor,Virginia,US,1_1980-1988,2,-0.22222222,102279.0,85.0,2,3,Северо-восток США и восток Канады
1980,1,39,-76,Cygnus columbianus,Maryland,US,1_1980-1988,1,0.16666667,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,1,39,-76,Cygnus columbianus,Maryland,US,1_1980-1988,2,-1.1666666,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,1,39,-75,Cygnus columbianus,Delaware,US,1_1980-1988,2,-1.0,5047.0,204.0,1,3,Северо-восток США и восток Канады
1980,1,39,-75,Cygnus olor,New Jersey,US,1_1980-1988,12,-1.1111112,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,39,-74,Cygnus columbianus,New Jersey,US,1_1980-1988,1,-0.8333333,19047.0,488.0,2,3,Северо-восток США и восток Канады
1980,1,39,-74,Cygnus columbianus,New Jersey,US,1_1980-1988,2,-2.2222223,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,39,-74,Cygnus columbianus,New Jersey,US,1_1980-1988,12,-1.1111112,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,39,-74,Cygnus olor,New Jersey,US,1_1980-1988,1,-0.8333333,19047.0,488.0,2,3,Северо-восток США и восток Канады
1980,1,39,-74,Cygnus olor,New Jersey,US,1_1980-1988,2,-2.2222223,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,40,-122,Cygnus columbianus,California,US,1_1980-1988,1,7.7222223,403466.0,97.0,2,4,Запад США и Канады
1980,1,40,-122,Cygnus columbianus,California,US,1_1980-1988,2,9.333333,403466.0,97.0,3,4,Запад США и Канады
1980,1,40,-121,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,1,4,Запад США и Канады
1980,1,40,-113,Cygnus buccinator,Utah,US,1_1980-1988,1,-1.2777778,212818.0,16.0,1,4,Запад США и Канады
1980,1,40,-113,Cygnus columbianus,Utah,US,1_1980-1988,1,-1.2777778,212818.0,16.0,1,4,Запад США и Канады
1980,1,40,-113,Cygnus columbianus,Utah,US,1_1980-1988,2,0.6666667,212818.0,16.0,1,4,Запад США и Канады
1980,1,40,-113,Cygnus columbianus,Utah,US,1_1980-1988,12,1.3333334,212818.0,16.0,2,4,Запад США и Канады
1980,1,40,-105,Cygnus columbianus,Colorado,US,1_1980-1988,12,1.5555556,268431.0,22.0,2,4,Запад США и Канады
1980,1,40,-81,Cygnus olor,Ohio,US,1_1980-1988,2,-4.888889,105829.0,111.0,1,3,Северо-восток США и восток Канады
1980,1,40,-78,Cygnus olor,Maryland,US,1_1980-1988,2,-1.1666666,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,1,40,-77,Cygnus columbianus,Pennsylvania,US,1_1980-1988,12,-3.3888888,115883.0,112.0,1,3,Северо-восток США и восток Канады
1980,1,40,-76,Cygnus columbianus,Pennsylvania,US,1_1980-1988,2,-5.0,115883.0,112.0,3,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus columbianus,New Jersey,US,1_1980-1988,12,-1.1111112,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus columbianus,Pennsylvania,US,1_1980-1988,1,-3.5,115883.0,112.0,3,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus columbianus,Pennsylvania,US,1_1980-1988,12,-3.3888888,115883.0,112.0,1,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus olor,New Jersey,US,1_1980-1988,12,-1.1111112,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus olor,Pennsylvania,US,1_1980-1988,1,-3.5,115883.0,112.0,3,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus olor,Pennsylvania,US,1_1980-1988,2,-5.0,115883.0,112.0,2,3,Северо-восток США и восток Канады
1980,1,40,-75,Cygnus olor,Pennsylvania,US,1_1980-1988,12,-3.3888888,115883.0,112.0,1,3,Северо-восток США и восток Канады
1980,1,40,-74,Cygnus olor,New Jersey,US,1_1980-1988,1,-0.8333333,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,41,-112,Cygnus columbianus,Utah,US,1_1980-1988,12,1.3333334,212818.0,16.0,1,4,Запад США и Канады
1980,1,41,-78,Cygnus olor,Pennsylvania,US,1_1980-1988,1,-3.5,115883.0,112.0,1,3,Северо-восток США и восток Канады
1980,1,41,-75,Cygnus columbianus,New Jersey,US,1_1980-1988,1,-0.8333333,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,1,41,-74,Cygnus columbianus,New York,US,1_1980-1988,1,-5.7777777,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,1,41,-74,Cygnus olor,New York,US,1_1980-1988,1,-5.7777777,122057.0,160.0,8,3,Северо-восток США и восток Канады
1980,1,41,-74,Cygnus olor,New York,US,1_1980-1988,12,-7.2222223,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,1,41,-73,Cygnus olor,Connecticut,US,1_1980-1988,12,-3.7222223,12542.0,288.0,1,3,Северо-восток США и восток Канады
1980,1,41,-73,Cygnus olor,New York,US,1_1980-1988,2,-8.0,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus columbianus,New York,US,1_1980-1988,1,-5.7777777,122057.0,160.0,2,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus columbianus,New York,US,1_1980-1988,2,-8.0,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,Connecticut,US,1_1980-1988,1,-2.5,12542.0,288.0,1,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,Connecticut,US,1_1980-1988,2,-4.4444447,12542.0,288.0,1,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,Connecticut,US,1_1980-1988,12,-3.7222223,12542.0,288.0,5,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,New York,US,1_1980-1988,1,-5.7777777,122057.0,160.0,4,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,New York,US,1_1980-1988,2,-8.0,122057.0,160.0,6,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,New York,US,1_1980-1988,12,-7.2222223,122057.0,160.0,2,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,Rhode Island,US,1_1980-1988,1,-1.8888888,2678.0,409.0,3,3,Северо-восток США и восток Канады
1980,1,41,-72,Cygnus olor,Rhode Island,US,1_1980-1988,12,-2.6666667,2678.0,409.0,3,3,Северо-восток США и восток Канады
1980,1,41,-71,Cygnus olor,Rhode Island,US,1_1980-1988,12,-2.6666667,2678.0,409.0,1,3,Северо-восток США и восток Канады
1980,1,42,-124,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,2,4,Запад США и Канады
1980,1,42,-122,Cygnus columbianus,California,US,1_1980-1988,1,7.7222223,403466.0,97.0,1,4,Запад США и Канады
1980,1,42,-122,Cygnus columbianus,California,US,1_1980-1988,2,9.333333,403466.0,97.0,1,4,Запад США и Канады
1980,1,42,-122,Cygnus columbianus,California,US,1_1980-1988,12,8.388889,403466.0,97.0,1,4,Запад США и Канады
1980,1,42,-122,Cygnus columbianus,Oregon,US,1_1980-1988,2,3.2222223,248608.0,17.0,2,4,Запад США и Канады
1980,1,42,-122,Cygnus columbianus,Oregon,US,1_1980-1988,12,2.0555556,248608.0,17.0,1,4,Запад США и Канады
1980,1,42,-121,Cygnus columbianus,California,US,1_1980-1988,1,7.7222223,403466.0,97.0,2,4,Запад США и Канады
1980,1,42,-88,Cygnus olor,Illinois,US,1_1980-1988,1,-3.1111112,143793.0,87.0,2,3,Северо-восток США и восток Канады
1980,1,42,-88,Cygnus olor,Illinois,US,1_1980-1988,12,-0.7222222,143793.0,87.0,2,3,Северо-восток США и восток Канады
1980,1,42,-83,Cygnus columbianus,Michigan,US,1_1980-1988,12,-6.5555553,146435.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,42,-83,Cygnus columbianus,Ohio,US,1_1980-1988,2,-4.888889,105829.0,111.0,1,3,Северо-восток США и восток Канады
1980,1,42,-83,Cygnus columbianus,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,2,3,Северо-восток США и восток Канады
1980,1,42,-82,Cygnus columbianus,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,5,3,Северо-восток США и восток Канады
1980,1,42,-80,Cygnus columbianus,Pennsylvania,US,1_1980-1988,1,-3.5,115883.0,112.0,9,3,Северо-восток США и восток Канады
1980,1,42,-80,Cygnus columbianus,Pennsylvania,US,1_1980-1988,2,-5.0,115883.0,112.0,6,3,Северо-восток США и восток Канады
1980,1,42,-80,Cygnus columbianus,Pennsylvania,US,1_1980-1988,12,-3.3888888,115883.0,112.0,9,3,Северо-восток США и восток Канады
1980,1,42,-71,Cygnus olor,Massachusetts,US,1_1980-1988,2,-5.111111,20202.0,347.0,2,3,Северо-восток США и восток Канады
