LocationID,GridCellID,Latitude,Longitude,StateProvince,Country,DensityPer,LandArea
33_-82_Georgia,33_-82,33,-82,Georgia,US,74.0,148959.0
34_-118_California,34_-118,34,-118,California,US,97.0,403466.0
34_-79_South Carolina,34_-79,34,-79,South Carolina,US,69.0,77857.0
35_-76_North Carolina,35_-76,35,-76,North Carolina,US,86.0,125920.0
36_-84_Tennessee,36_-84,36,-84,Tennessee,US,67.0,106798.0
36_-82_North Carolina,36_-82,36,-82,North Carolina,US,86.0,125920.0
36_-76_North Carolina,36_-76,36,-76,North Carolina,US,86.0,125920.0
36_-75_North Carolina,36_-75,36,-75,North Carolina,US,86.0,125920.0
37_-122_California,37_-122,37,-122,California,US,97.0,403466.0
37_-77_Virginia,37_-77,37,-77,Virginia,US,85.0,102279.0
37_-76_Virginia,37_-76,37,-76,Virginia,US,85.0,102279.0
38_-123_California,38_-123,38,-123,California,US,97.0,403466.0
38_-122_California,38_-122,38,-122,California,US,97.0,403466.0
38_-121_California,38_-121,38,-121,California,US,97.0,403466.0
38_-76_Maryland,38_-76,38,-76,Maryland,US,246.0,25142.0
38_-75_Maryland,38_-75,38,-75,Maryland,US,246.0,25142.0
39_-124_California,39_-124,39,-124,California,US,97.0,403466.0
39_-122_California,39_-122,39,-122,California,US,97.0,403466.0
39_-105_Colorado,39_-105,39,-105,Colorado,US,22.0,268431.0
39_-98_Kansas,39_-98,39,-98,Kansas,US,14.0,211754.0
39_-86_Indiana,39_-86,39,-86,Indiana,US,74.0,92789.0
39_-77_Maryland,39_-77,39,-77,Maryland,US,246.0,25142.0
39_-77_Virginia,39_-77,39,-77,Virginia,US,85.0,102279.0
39_-76_Maryland,39_-76,39,-76,Maryland,US,246.0,25142.0
39_-75_Delaware,39_-75,39,-75,Delaware,US,204.0,5047.0
39_-75_New Jersey,39_-75,39,-75,New Jersey,US,488.0,19047.0
39_-74_New Jersey,39_-74,39,-74,New Jersey,US,488.0,19047.0
40_-122_California,40_-122,40,-122,California,US,97.0,403466.0
40_-121_California,40_-121,40,-121,California,US,97.0,403466.0
40_-113_Utah,40_-113,40,-113,Utah,US,16.0,212818.0
40_-105_Colorado,40_-105,40,-105,Colorado,US,22.0,268431.0
40_-81_Ohio,40_-81,40,-81,Ohio,US,111.0,105829.0
40_-78_Maryland,40_-78,40,-78,Maryland,US,246.0,25142.0
40_-77_Pennsylvania,40_-77,40,-77,Pennsylvania,US,112.0,115883.0
40_-76_Pennsylvania,40_-76,40,-76,Pennsylvania,US,112.0,115883.0
40_-75_New Jersey,40_-75,40,-75,New Jersey,US,488.0,19047.0
40_-75_Pennsylvania,40_-75,40,-75,Pennsylvania,US,112.0,115883.0
40_-74_New Jersey,40_-74,40,-74,New Jersey,US,488.0,19047.0
