MonthDate,Year,MonthNumber,MonthName,TimePeriod
1980-01-01,1980,1,Январь,1_1980-1988
1980-02-01,1980,2,Февраль,1_1980-1988
1980-06-01,1980,6,Июнь,1_1980-1988
1980-07-01,1980,7,Июль,1_1980-1988
1980-08-01,1980,8,Август,1_1980-1988
1980-12-01,1980,12,Декабрь,1_1980-1988
1981-01-01,1981,1,Январь,1_1980-1988
1981-02-01,1981,2,Февраль,1_1980-1988
1981-06-01,1981,6,Июнь,1_1980-1988
1981-07-01,1981,7,Июль,1_1980-1988
1981-08-01,1981,8,Август,1_1980-1988
1981-12-01,1981,12,Декабрь,1_1980-1988
1982-01-01,1982,1,Январь,1_1980-1988
1982-02-01,1982,2,Февраль,1_1980-1988
1982-06-01,1982,6,Июнь,1_1980-1988
1982-07-01,1982,7,Июль,1_1980-1988
1982-08-01,1982,8,Август,1_1980-1988
1982-12-01,1982,12,Декабрь,1_1980-1988
1983-01-01,1983,1,Январь,1_1980-1988
1983-02-01,1983,2,Февраль,1_1980-1988
1983-06-01,1983,6,Июнь,1_1980-1988
1983-07-01,1983,7,Июль,1_1980-1988
1983-08-01,1983,8,Август,1_1980-1988
1983-12-01,1983,12,Декабрь,1_1980-1988
1984-01-01,1984,1,Январь,1_1980-1988
1984-02-01,1984,2,Февраль,1_1980-1988
1984-06-01,1984,6,Июнь,1_1980-1988
1984-07-01,1984,7,Июль,1_1980-1988
1984-08-01,1984,8,Август,1_1980-1988
1984-12-01,1984,12,Декабрь,1_1980-1988
1985-01-01,1985,1,Январь,1_1980-1988
1985-02-01,1985,2,Февраль,1_1980-1988
1985-06-01,1985,6,Июнь,1_1980-1988
1985-07-01,1985,7,Июль,1_1980-1988
1985-08-01,1985,8,Август,1_1980-1988
1985-12-01,1985,12,Декабрь,1_1980-1988
1986-01-01,1986,1,Январь,1_1980-1988
1986-02-01,1986,2,Февраль,1_1980-1988
1986-06-01,1986,6,Июнь,1_1980-1988
1986-07-01,1986,7,Июль,1_1980-1988
1986-08-01,1986,8,Август,1_1980-1988
1986-12-01,1986,12,Декабрь,1_1980-1988
1987-01-01,1987,1,Январь,1_1980-1988
1987-02-01,1987,2,Февраль,1_1980-1988
1987-06-01,1987,6,Июнь,1_1980-1988
1987-07-01,1987,7,Июль,1_1980-1988
1987-08-01,1987,8,Август,1_1980-1988
1987-12-01,1987,12,Декабрь,1_1980-1988
1988-01-01,1988,1,Январь,1_1980-1988
1988-02-01,1988,2,Февраль,1_1980-1988
1988-06-01,1988,6,Июнь,1_1980-1988
1988-07-01,1988,7,Июль,1_1980-1988
1988-08-01,1988,8,Август,1_1980-1988
1988-12-01,1988,12,Декабрь,1_1980-1988
1989-01-01,1989,1,Январь,2_1989-1997
1989-02-01,1989,2,Февраль,2_1989-1997
1989-06-01,1989,6,Июнь,2_1989-1997
1989-07-01,1989,7,Июль,2_1989-1997
1989-08-01,1989,8,Август,2_1989-1997
1989-12-01,1989,12,Декабрь,2_1989-1997
1990-01-01,1990,1,Январь,2_1989-1997
1990-02-01,1990,2,Февраль,2_1989-1997
1990-06-01,1990,6,Июнь,2_1989-1997
1990-07-01,1990,7,Июль,2_1989-1997
1990-08-01,1990,8,Август,2_1989-1997
1990-12-01,1990,12,Декабрь,2_1989-1997
1991-01-01,1991,1,Январь,2_1989-1997
1991-02-01,1991,2,Февраль,2_1989-1997
1991-06-01,1991,6,Июнь,2_1989-1997
1991-07-01,1991,7,Июль,2_1989-1997
1991-08-01,1991,8,Август,2_1989-1997
1991-12-01,1991,12,Декабрь,2_1989-1997
1992-01-01,1992,1,Январь,2_1989-1997
1992-02-01,1992,2,Февраль,2_1989-1997
1992-06-01,1992,6,Июнь,2_1989-1997
1992-07-01,1992,7,Июль,2_1989-1997
1992-08-01,1992,8,Август,2_1989-1997
1992-12-01,1992,12,Декабрь,2_1989-1997
1993-01-01,1993,1,Январь,2_1989-1997
1993-02-01,1993,2,Февраль,2_1989-1997
1993-06-01,1993,6,Июнь,2_1989-1997
1993-07-01,1993,7,Июль,2_1989-1997
1993-08-01,1993,8,Август,2_1989-1997
1993-12-01,1993,12,Декабрь,2_1989-1997
1994-01-01,1994,1,Январь,2_1989-1997
1994-02-01,1994,2,Февраль,2_1989-1997
1994-06-01,1994,6,Июнь,2_1989-1997
1994-07-01,1994,7,Июль,2_1989-1997
1994-08-01,1994,8,Август,2_1989-1997
1994-12-01,1994,12,Декабрь,2_1989-1997
1995-01-01,1995,1,Январь,2_1989-1997
1995-02-01,1995,2,Февраль,2_1989-1997
1995-06-01,1995,6,Июнь,2_1989-1997
1995-07-01,1995,7,Июль,2_1989-1997
1995-08-01,1995,8,Август,2_1989-1997
1995-12-01,1995,12,Декабрь,2_1989-1997
1996-01-01,1996,1,Январь,2_1989-1997
1996-02-01,1996,2,Февраль,2_1989-1997
1996-06-01,1996,6,Июнь,2_1989-1997
1996-07-01,1996,7,Июль,2_1989-1997
1996-08-01,1996,8,Август,2_1989-1997
1996-12-01,1996,12,Декабрь,2_1989-1997
1997-01-01,1997,1,Январь,2_1989-1997
1997-02-01,1997,2,Февраль,2_1989-1997
1997-06-01,1997,6,Июнь,2_1989-1997
1997-07-01,1997,7,Июль,2_1989-1997
1997-08-01,1997,8,Август,2_1989-1997
1997-12-01,1997,12,Декабрь,2_1989-1997
1998-01-01,1998,1,Январь,3_1998-2006
1998-02-01,1998,2,Февраль,3_1998-2006
1998-06-01,1998,6,Июнь,3_1998-2006
1998-07-01,1998,7,Июль,3_1998-2006
1998-08-01,1998,8,Август,3_1998-2006
1998-12-01,1998,12,Декабрь,3_1998-2006
1999-01-01,1999,1,Январь,3_1998-2006
1999-02-01,1999,2,Февраль,3_1998-2006
1999-06-01,1999,6,Июнь,3_1998-2006
1999-07-01,1999,7,Июль,3_1998-2006
1999-08-01,1999,8,Август,3_1998-2006
1999-12-01,1999,12,Декабрь,3_1998-2006
2000-01-01,2000,1,Январь,3_1998-2006
2000-02-01,2000,2,Февраль,3_1998-2006
2000-06-01,2000,6,Июнь,3_1998-2006
2000-07-01,2000,7,Июль,3_1998-2006
2000-08-01,2000,8,Август,3_1998-2006
2000-12-01,2000,12,Декабрь,3_1998-2006
2001-01-01,2001,1,Январь,3_1998-2006
2001-02-01,2001,2,Февраль,3_1998-2006
2001-06-01,2001,6,Июнь,3_1998-2006
2001-07-01,2001,7,Июль,3_1998-2006
2001-08-01,2001,8,Август,3_1998-2006
2001-12-01,2001,12,Декабрь,3_1998-2006
2002-01-01,2002,1,Январь,3_1998-2006
2002-02-01,2002,2,Февраль,3_1998-2006
2002-06-01,2002,6,Июнь,3_1998-2006
2002-07-01,2002,7,Июль,3_1998-2006
2002-08-01,2002,8,Август,3_1998-2006
2002-12-01,2002,12,Декабрь,3_1998-2006
2003-01-01,2003,1,Январь,3_1998-2006
2003-02-01,2003,2,Февраль,3_1998-2006
2003-06-01,2003,6,Июнь,3_1998-2006
2003-07-01,2003,7,Июль,3_1998-2006
2003-08-01,2003,8,Август,3_1998-2006
2003-12-01,2003,12,Декабрь,3_1998-2006
2004-01-01,2004,1,Январь,3_1998-2006
2004-02-01,2004,2,Февраль,3_1998-2006
2004-06-01,2004,6,Июнь,3_1998-2006
2004-07-01,2004,7,Июль,3_1998-2006
2004-08-01,2004,8,Август,3_1998-2006
2004-12-01,2004,12,Декабрь,3_1998-2006
2005-01-01,2005,1,Январь,3_1998-2006
2005-02-01,2005,2,Февраль,3_1998-2006
2005-06-01,2005,6,Июнь,3_1998-2006
2005-07-01,2005,7,Июль,3_1998-2006
2005-08-01,2005,8,Август,3_1998-2006
2005-12-01,2005,12,Декабрь,3_1998-2006
2006-01-01,2006,1,Январь,3_1998-2006
2006-02-01,2006,2,Февраль,3_1998-2006
2006-06-01,2006,6,Июнь,3_1998-2006
2006-07-01,2006,7,Июль,3_1998-2006
2006-08-01,2006,8,Август,3_1998-2006
2006-12-01,2006,12,Декабрь,3_1998-2006
2007-01-01,2007,1,Январь,4_2007-2015
2007-02-01,2007,2,Февраль,4_2007-2015
2007-06-01,2007,6,Июнь,4_2007-2015
2007-07-01,2007,7,Июль,4_2007-2015
2007-08-01,2007,8,Август,4_2007-2015
2007-12-01,2007,12,Декабрь,4_2007-2015
2008-01-01,2008,1,Январь,4_2007-2015
2008-02-01,2008,2,Февраль,4_2007-2015
2008-06-01,2008,6,Июнь,4_2007-2015
2008-07-01,2008,7,Июль,4_2007-2015
2008-08-01,2008,8,Август,4_2007-2015
2008-12-01,2008,12,Декабрь,4_2007-2015
2009-01-01,2009,1,Январь,4_2007-2015
2009-02-01,2009,2,Февраль,4_2007-2015
2009-06-01,2009,6,Июнь,4_2007-2015
2009-07-01,2009,7,Июль,4_2007-2015
2009-08-01,2009,8,Август,4_2007-2015
2009-12-01,2009,12,Декабрь,4_2007-2015
2010-01-01,2010,1,Январь,4_2007-2015
2010-02-01,2010,2,Февраль,4_2007-2015
2010-06-01,2010,6,Июнь,4_2007-2015
2010-07-01,2010,7,Июль,4_2007-2015
2010-08-01,2010,8,Август,4_2007-2015
2010-12-01,2010,12,Декабрь,4_2007-2015
2011-01-01,2011,1,Январь,4_2007-2015
2011-02-01,2011,2,Февраль,4_2007-2015
2011-06-01,2011,6,Июнь,4_2007-2015
2011-07-01,2011,7,Июль,4_2007-2015
2011-08-01,2011,8,Август,4_2007-2015
2011-12-01,2011,12,Декабрь,4_2007-2015
2012-01-01,2012,1,Январь,4_2007-2015
2012-02-01,2012,2,Февраль,4_2007-2015
2012-06-01,2012,6,Июнь,4_2007-2015
2012-07-01,2012,7,Июль,4_2007-2015
2012-08-01,2012,8,Август,4_2007-2015
2012-12-01,2012,12,Декабрь,4_2007-2015
2013-01-01,2013,1,Январь,4_2007-2015
2013-02-01,2013,2,Февраль,4_2007-2015
2013-06-01,2013,6,Июнь,4_2007-2015
2013-07-01,2013,7,Июль,4_2007-2015
2013-08-01,2013,8,Август,4_2007-2015
2013-12-01,2013,12,Декабрь,4_2007-2015
2014-01-01,2014,1,Январь,4_2007-2015
2014-02-01,2014,2,Февраль,4_2007-2015
2014-06-01,2014,6,Июнь,4_2007-2015
2014-07-01,2014,7,Июль,4_2007-2015
2014-08-01,2014,8,Август,4_2007-2015
2014-12-01,2014,12,Декабрь,4_2007-2015
2015-01-01,2015,1,Январь,4_2007-2015
2015-02-01,2015,2,Февраль,4_2007-2015
2015-06-01,2015,6,Июнь,4_2007-2015
2015-07-01,2015,7,Июль,4_2007-2015
