ClusterID,ClusterName,SpeciesID,SeasonID,SeasonName,Factor,Coefficient,CILow,CIHigh,PValue,R2,NRows,ModelStartYear,ModelEndYear,ModelType
1,Север (Аляска и север Канады),1,1,Зимний период,Год,,,,,,0,,,Недостаточно данных
1,Север (Аляска и север Канады),1,1,Зимний период,Температура,,,,,,0,,,Недостаточно данных
1,Север (Аляска и север Канады),1,1,Зимний период,Плотность,,,,,,0,,,Недостаточно данных
1,Север (Аляска и север Канады),1,2,Летний период,Год,,,,,,0,,,Недостаточно данных
1,Север (Аляска и север Канады),1,2,Летний период,Температура,,,,,,0,,,Недостаточно данных
1,Север (Аляска и север Канады),1,2,Летний период,Плотность,,,,,,0,,,Недостаточно данных
1,Север (Аляска и север Канады),2,1,Зимний период,Год,0.03917,0.007802,0.070538,0.01542689787895006,0.633,616,1981.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),2,1,Зимний период,Температура,-0.001841,-0.040851,0.037169,0.9248610746266059,0.633,616,1981.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),2,1,Зимний период,Плотность,-0.830585,-1.074371,-0.586799,1.0558046815296524e-08,0.633,616,1981.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),2,2,Летний период,Год,0.002017,-0.012176,0.01621,0.7797968939335995,0.1867,2511,1980.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),2,2,Летний период,Температура,-0.050423,-0.157305,0.056459,0.3537036085523706,0.1867,2511,1980.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),2,2,Летний период,Плотность,-0.721788,-1.035095,-0.40848,8.878138643543784e-06,0.1867,2511,1980.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),3,1,Зимний период,Год,0.007826,-0.052832,0.068485,0.7919226342152257,0.4073,78,1992.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),3,1,Зимний период,Температура,-0.0191,-0.145893,0.107693,0.7581327891266496,0.4073,78,1992.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),3,1,Зимний период,Плотность,-0.748516,-1.081588,-0.415445,0.00011165994905985308,0.4073,78,1992.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),3,2,Летний период,Год,0.012118,-0.017302,0.041539,0.4182929658821619,0.1032,2306,1980.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),3,2,Летний период,Температура,0.337972,0.182834,0.493109,2.4237727309786136e-05,0.1032,2306,1980.0,2023.0,Множественная OLS
1,Север (Аляска и север Канады),3,2,Летний период,Плотность,-4.730424,-6.86812,-2.592727,1.8159921131389226e-05,0.1032,2306,1980.0,2023.0,Множественная OLS
2,Юг США,1,1,Зимний период,Год,0.002215,-0.022469,0.026898,0.8595767565266281,0.6805,1816,1980.0,2023.0,Множественная OLS
2,Юг США,1,1,Зимний период,Температура,-0.488469,-0.561212,-0.415725,1.8506655320534787e-27,0.6805,1816,1980.0,2023.0,Множественная OLS
2,Юг США,1,1,Зимний период,Плотность,-0.006633,-0.016812,0.003547,0.20002953699555157,0.6805,1816,1980.0,2023.0,Множественная OLS
2,Юг США,1,2,Летний период,Год,0.008244,-0.025558,0.042046,0.6299595564176454,0.7016,961,1980.0,2023.0,Множественная OLS
